product_id,Average Sales per Week,weight KG,Length cm,Width cm,Depth cm
82,744,6.261,25,18,16
83,806,0.078,8,5,2
84,726,7.594,79,17,4
85,850,0.061,9,5,4
86,755,12.757,45,16,9
87,181,4.869,27,14,10
88,212,1.79,24,13,10
89,563,13.281,36,21,10
90,443,0.094,5,5,3
91,552,0.381,11,9,2
92,470,12.194,34,18,17
93,561,3.997,20,17,16
94,889,32.0,66,56,15
95,222,32.0,74,42,29
96,377,0.04,5,5,5
97,863,4.815,50,11,10
98,158,5.267,45,23,6
99,684,20.91,67,22,10
100,271,0.077,5,5,2
101,108,0.079,6,5,3
102,161,0.3,12,6,3
103,119,1.667,31,18,4
104,149,1.694,15,12,6
105,920,0.019,6,5,2
106,671,2.821,39,33,2
107,624,30.35,74,19,15
108,776,31.072,53,49,25
109,705,0.481,9,8,6
110,904,0.036,7,5,2
111,295,0.703,9,8,6
112,770,0.158,12,6,2
113,218,2.736,23,22,4
114,483,0.14,5,5,4
115,517,19.078,57,29,7
116,881,6.198,25,21,16
117,518,1.177,50,6,4
118,609,22.874,32,32,12
119,563,13.552,93,33,3
120,947,32.0,83,62,43
121,565,2.057,13,11,10
122,751,0.254,16,12,6
123,752,0.095,5,5,4
124,685,0.198,5,5,5
125,685,32.0,63,41,40
126,670,0.145,12,9,3
127,677,4.3,76,30,3
128,877,0.275,7,7,5
129,438,1.946,16,12,6
130,543,0.07,9,5,2
131,141,0.224,11,8,5
132,391,16.513,69,53,11
133,150,32.0,64,44,17
134,186,9.917,32,18,10
135,879,0.716,9,9,7
136,251,0.055,6,5,5
137,314,2.588,67,11,2
138,291,32.0,56,38,15
139,389,0.109,10,5,3
140,927,0.301,8,6,5
141,901,0.097,6,6,3
142,452,0.331,7,5,5
143,551,29.303,36,24,18
144,560,0.1,7,5,2
145,235,0.087,5,5,4
146,403,1.256,10,9,7
147,224,0.37,9,9,3
148,262,32.0,63,59,33
149,542,3.048,18,17,15
150,715,27.005,58,36,8
151,302,2.279,19,12,8
152,878,0.274,10,10,2
153,632,0.087,5,5,4
154,339,32.0,94,88,22
155,486,0.093,7,5,3
156,923,20.949,40,27,16
157,993,0.077,9,5,3
158,969,0.992,23,6,4
159,420,3.336,17,11,10
160,801,0.178,5,5,5
161,494,0.885,15,10,10
162,339,20.351,31,28,12
163,194,2.063,47,22,6
164,706,0.084,5,5,4
165,396,0.138,7,5,5
166,406,0.537,29,6,5
167,341,0.232,9,9,2
168,556,6.692,36,10,10
169,342,0.542,8,6,6
170,563,32.0,42,26,25
171,922,0.934,18,10,5
172,220,0.985,12,9,5
173,667,0.04,5,5,5
174,144,3.624,33,10,6
175,610,26.376,33,31,16
176,111,1.378,11,11,9
177,153,0.327,10,8,3
178,791,0.116,10,10,3
179,497,7.511,42,15,12
180,525,5.413,59,11,5
181,892,17.626,50,34,22
182,341,2.443,54,16,3
183,136,1.735,31,7,7
184,724,3.621,34,28,2
185,867,0.3,14,7,5
186,433,32.0,46,37,34
187,800,0.093,5,5,2
188,197,5.925,43,15,6
189,260,0.139,14,6,5
190,256,32.0,51,42,38
191,934,3.069,31,28,6
192,652,0.179,5,5,5
193,543,0.752,12,9,4
194,607,2.051,15,15,7
195,369,32.0,74,32,13
196,547,0.024,5,5,4
197,415,0.014,5,5,2
198,518,0.284,45,6,5
199,589,0.15,5,5,5
200,947,1.176,28,12,2
201,606,4.45,36,30,3
202,336,12.2,43,28,9
203,228,0.721,29,7,5
204,557,0.171,16,9,2
205,110,32.0,74,40,28
206,247,32.0,59,39,18
207,822,0.326,29,6,2
208,294,32.0,60,51,24
209,302,17.59,31,26,23
210,460,0.114,5,5,5
211,387,18.395,38,21,16
212,853,0.12,8,6,2
213,772,32.0,44,29,24
214,131,3.721,52,13,10
215,288,0.094,5,5,3
216,231,0.148,5,5,5
217,277,1.158,18,9,8
218,865,6.577,41,30,3
219,668,17.326,44,26,10
220,663,26.758,58,20,12
221,728,0.106,5,5,5
222,910,1.58,14,11,10
223,215,0.084,13,5,3
224,677,3.728,32,13,6
225,737,32.0,55,33,29
226,870,32.0,64,45,32
227,285,4.847,32,26,17
228,135,0.089,5,5,2
229,490,0.253,12,5,3
230,644,14.653,34,25,16
231,903,0.454,31,8,4
232,529,32.0,80,76,17
233,270,1.596,13,12,8
234,694,0.051,5,5,2
235,751,0.41,11,10,2
236,824,1.378,39,17,3
237,466,1.245,9,9,8
238,958,5.834,26,14,11
239,201,0.08,5,5,4
240,781,0.213,11,8,6
241,860,12.711,30,21,12
242,169,13.327,51,23,12
243,438,0.349,7,6,5
244,612,1.466,34,30,4
245,733,0.032,5,5,5
246,542,0.024,5,5,3
247,676,5.755,43,10,9
248,239,1.852,24,10,10
249,246,0.652,16,10,7
250,786,5.152,24,16,8
251,259,0.185,7,5,5
252,348,0.716,17,9,9
253,249,0.067,5,5,2
254,488,0.382,29,10,2
255,764,0.799,17,11,3
256,430,3.684,21,11,10
257,144,5.236,31,16,15
258,471,0.064,7,7,6
259,344,3.556,31,22,5
260,219,1.054,11,11,7
261,854,14.901,26,26,21
262,666,0.292,16,10,4
263,477,1.727,36,6,6
264,757,4.134,19,13,9
265,791,5.031,17,16,10
266,522,0.056,5,5,2
267,707,2.044,28,11,4
268,224,1.011,27,14,5
269,318,0.574,32,10,3
270,580,32.0,63,29,26
271,661,15.318,64,35,8
272,441,0.273,10,7,2
273,368,0.065,7,6,2
274,924,6.556,37,31,21
275,978,0.206,5,5,5
276,342,3.173,34,18,3
277,169,4.708,64,19,10
278,796,6.191,24,13,11
279,206,2.174,54,5,5
280,284,0.551,39,6,2
281,146,1.119,15,8,7
282,704,11.447,35,24,22
283,895,0.303,12,10,6
284,522,4.907,42,13,5
285,596,0.16,10,6,2
286,231,5.254,22,22,6
287,290,32.0,64,58,20
288,468,0.082,5,5,4
289,923,0.29,10,10,6
290,474,32.0,52,29,18
291,756,2.238,17,10,7
292,366,32.0,86,81,21
293,338,0.107,5,5,5
294,408,0.416,7,7,6
295,825,3.831,23,15,8
296,208,0.028,5,5,3
297,245,0.638,11,11,5
298,169,0.517,43,14,3
299,526,2.066,44,12,9
300,946,32.0,73,41,31
301,684,0.35,10,7,5
302,512,0.04,7,6,2
303,393,4.806,44,33,9
304,768,0.094,5,5,3
305,915,4.487,25,16,6
306,963,0.063,5,5,2
307,887,0.035,5,5,5
308,140,0.305,10,5,5
309,347,0.146,8,6,3
310,450,32.0,49,40,30
311,905,0.032,5,5,2
312,308,1.129,34,8,8
313,559,0.124,5,5,5
314,474,0.151,23,5,4
315,261,29.237,34,24,22
316,777,0.646,13,13,5
317,157,0.643,8,8,6
318,989,0.058,5,5,2
319,509,0.23,17,7,3
320,618,4.649,47,22,4
321,747,1.077,16,11,9
322,726,1.341,52,7,2
323,473,0.447,9,8,4
324,907,10.046,43,31,7
325,421,0.474,31,9,6
326,584,0.71,17,8,4
327,766,0.115,8,5,3
328,967,32.0,110,79,38
329,530,1.217,12,12,6
330,965,0.619,15,6,4
331,400,1.335,35,8,6
332,148,0.192,8,5,5
333,956,5.336,23,14,12
334,537,7.467,31,21,6
335,209,0.169,5,5,4
336,916,0.481,27,7,5
337,578,0.015,5,5,2
338,737,0.39,13,5,5
339,742,0.146,5,5,3
340,898,0.359,7,7,6
341,384,0.269,7,5,5
342,124,0.167,5,5,5
343,921,0.176,9,5,2
344,108,32.0,73,70,17
345,522,1.792,30,11,7
346,622,1.31,29,8,7
347,343,4.418,22,17,14
348,365,32.0,55,49,45
349,286,15.791,52,32,8
350,406,32.0,68,64,44
351,497,0.062,5,5,3
352,116,0.263,7,7,5
353,439,0.802,32,10,2
354,243,3.022,44,35,6
355,290,6.069,49,18,4
356,785,0.307,8,7,4
357,884,0.125,7,6,5
358,199,0.24,5,5,5
359,975,0.014,5,5,2
360,256,1.188,60,5,2
361,839,0.51,8,7,6
362,295,0.527,20,5,4
363,406,0.097,5,5,2
364,307,21.841,76,40,8
365,809,0.218,10,10,10
366,599,1.818,23,8,7
367,320,8.057,48,26,24
368,964,1.8,39,9,8
369,517,0.282,7,6,4
370,969,0.026,5,5,5
371,579,0.236,6,5,4
372,850,0.129,5,5,4
373,464,0.037,5,5,2
374,277,0.299,12,12,4
375,749,1.21,10,9,7
376,351,0.82,17,15,2
377,865,2.171,45,5,5
378,957,32.0,85,62,50
379,194,1.124,12,10,5
380,941,8.64,29,25,18
381,707,3.791,70,18,11
382,571,0.358,12,10,2
383,731,0.041,5,5,3
384,798,1.561,42,19,2
385,349,0.195,7,6,5
386,522,0.167,5,5,4
387,561,0.151,6,5,3
388,836,7.313,22,21,19
389,448,1.859,19,13,12
390,542,4.116,37,36,4
391,566,0.064,5,5,4
392,769,10.25,33,15,14
393,291,2.463,24,15,15
394,796,4.671,17,17,16
395,159,0.817,25,6,3
396,168,1.797,20,9,6
397,495,6.258,40,23,10
398,847,2.198,50,8,7
399,890,0.047,5,5,3
400,500,0.65,8,8,7
401,328,0.051,5,5,5
402,701,0.047,6,5,4
403,388,0.077,6,5,2
404,809,0.208,7,5,5
405,587,14.401,44,37,7
406,983,5.5,23,22,6
407,472,0.372,13,10,4
408,186,0.142,5,5,4
409,725,0.129,5,5,3
410,380,0.111,7,5,4
411,943,0.575,20,7,6
412,622,32.0,75,45,39
413,697,0.278,7,7,7
414,491,0.58,22,9,6
415,474,0.492,43,5,2
416,167,0.043,5,5,4
417,754,0.257,15,5,3
418,631,32.0,88,22,11
419,949,0.96,18,8,4
420,963,0.127,5,5,4
421,548,0.257,10,5,3
422,846,1.051,15,10,4
423,227,1.381,19,8,7
424,981,0.212,5,5,5
425,116,3.071,20,10,8
426,869,1.252,41,7,4
427,623,0.181,13,12,2
428,187,0.201,7,6,6
429,848,0.234,5,5,5
430,904,0.169,5,5,5
431,334,1.843,20,16,5
432,796,0.275,13,8,5
433,360,1.481,12,10,10
434,513,8.541,53,40,8
435,639,0.055,6,6,2
436,625,0.457,10,10,5
437,826,1.542,27,8,8
438,111,21.836,38,33,14
439,695,18.913,48,30,7
440,520,0.159,11,11,5
441,962,0.074,9,8,2
442,579,0.192,5,5,4
443,622,2.523,29,28,2
444,430,20.258,42,37,8
445,945,0.338,7,7,4
446,918,0.102,11,7,3
447,966,0.179,5,5,4
448,772,0.124,5,5,4
449,278,1.906,28,10,8
450,711,1.665,34,11,9
451,620,0.131,5,5,5
452,397,2.934,21,14,8
453,909,0.307,7,6,4
454,989,0.563,15,5,5
455,209,32.0,65,50,41
456,185,0.146,12,8,4
457,486,0.197,12,5,4
458,496,1.684,22,10,4
459,404,13.577,31,31,9
460,554,0.323,17,10,3
461,331,1.129,13,8,6
462,918,0.026,5,5,5
463,187,1.085,19,11,10
464,923,1.738,16,13,6
465,494,21.424,27,26,19
466,319,0.516,21,5,5
467,560,32.0,56,50,50
468,334,0.336,9,7,4
469,588,0.133,5,5,5
470,359,2.813,15,14,9
471,634,1.418,19,11,8
472,317,10.883,79,12,7
473,262,0.802,30,12,4
474,566,0.062,14,6,3
475,489,2.175,35,9,6
476,969,0.588,14,13,6
477,348,7.076,22,16,16
478,258,0.549,7,7,6
479,766,32.0,39,31,27
480,584,1.679,12,12,6
481,496,1.47,43,9,3
482,237,1.017,13,11,4
483,891,1.093,14,7,6
484,697,32.0,108,58,12
485,553,0.707,26,14,5
486,192,2.945,30,12,8
487,847,0.99,8,8,8
488,232,0.108,10,6,5
489,749,0.52,19,5,3
490,317,1.17,51,8,3
491,759,0.594,17,6,4
492,582,13.004,59,29,23
493,874,1.054,18,9,5
494,615,0.759,49,25,3
495,229,0.725,27,9,3
496,459,3.326,34,12,7
497,774,2.473,23,18,4
498,709,0.044,6,5,5
499,725,0.866,16,6,6
500,697,32.0,59,51,30
501,613,0.3,15,7,5
502,556,32.0,61,50,14
503,754,0.048,6,5,2
504,636,32.0,45,34,21
505,683,0.314,7,6,4
506,511,0.095,10,8,2
507,610,1.334,28,12,3
508,761,0.019,5,5,2
509,880,4.911,26,26,13
510,892,2.233,35,13,12
511,847,31.144,34,25,19
512,430,32.0,59,56,40
513,799,0.026,5,5,5
514,764,32.0,60,20,20
515,899,4.2,53,31,7
516,392,0.677,22,7,3
517,384,0.353,14,11,3
518,823,0.493,23,9,2
519,740,13.686,38,14,13
520,441,32.0,40,26,25
521,827,0.163,5,5,5
522,253,0.051,5,5,2
523,644,0.395,23,12,4
524,623,0.328,15,8,2
525,854,2.094,24,13,6
526,607,1.323,17,17,11
527,721,0.922,30,10,2
528,127,0.184,5,5,4
529,374,9.283,20,19,15
530,934,0.224,14,10,8
531,766,0.108,7,7,2
532,600,3.223,24,10,7
533,606,1.554,20,19,3
534,734,14.771,27,24,15
535,125,0.321,10,10,4
536,966,0.391,11,11,4
537,566,0.238,10,7,2
538,964,2.023,11,11,9
539,903,5.397,23,20,7
540,142,1.385,28,12,4
541,202,0.148,5,5,4
542,653,1.678,25,7,6
543,434,3.676,28,22,8
544,800,2.12,25,21,8
545,560,2.123,28,16,5
546,601,0.801,19,10,3
547,136,2.696,24,14,6
548,522,4.254,18,16,15
549,522,0.043,5,5,4
550,841,0.488,36,10,2
551,445,0.188,5,5,5
552,286,0.44,7,6,6
553,331,0.07,11,5,2
554,688,15.39,58,22,18
555,402,13.699,46,30,14
556,976,0.037,7,5,2
557,748,0.178,5,5,5
558,747,0.941,28,21,5
559,439,0.578,12,6,5
560,521,7.95,28,19,18
561,177,32.0,45,31,18
562,190,2.009,25,19,17
563,175,32.0,61,55,13
564,747,2.433,29,11,5
565,516,0.207,9,7,7
566,970,0.045,5,5,2
567,321,26.6,57,19,16
568,397,0.868,20,5,5
569,441,0.093,5,5,4
570,180,0.128,5,5,4
571,993,8.499,24,23,11
572,181,4.231,24,18,11
573,480,1.833,18,9,8
574,249,0.399,13,9,2
575,388,2.903,38,13,9
576,529,3.951,26,14,13
577,349,0.644,8,8,7
578,282,0.278,15,5,2
579,854,0.024,5,5,2
580,441,0.053,5,5,2
581,745,0.089,5,5,2
582,536,24.344,38,36,19
583,458,1.174,51,5,3
584,208,32.0,68,47,45
585,993,1.628,10,10,10
586,996,3.873,15,15,9
587,398,0.059,6,6,6
588,878,1.251,29,15,9
589,341,0.43,12,8,8
590,163,0.11,5,5,4
591,730,32.0,53,39,30
592,290,0.04,9,5,4
593,189,32.0,98,84,46
594,442,0.083,5,5,2
595,320,32.0,57,48,31
596,382,0.079,5,5,5
597,594,4.153,21,13,13
598,211,17.838,44,39,32
599,516,0.167,5,5,5
600,373,0.891,10,7,7
601,920,1.689,23,19,3
602,773,14.307,36,23,21
603,106,32.0,59,42,35
604,231,19.961,36,29,24
605,372,2.92,33,10,9
606,862,2.21,19,9,7
607,195,0.491,15,6,6
608,959,0.67,12,12,4
609,660,0.941,26,22,2
610,369,3.986,17,17,13
611,280,27.976,71,33,7
612,480,0.461,12,10,2
613,795,7.783,52,36,15
614,563,0.049,5,5,3
615,236,0.057,5,5,2
616,344,32.0,86,84,37
617,517,6.179,61,8,7
618,316,7.188,30,26,5
619,192,0.08,5,5,5
620,453,32.0,34,33,20
621,566,3.282,25,17,9
622,995,0.945,14,8,5
623,717,32.0,50,46,46
624,828,0.236,11,6,3
625,833,32.0,81,68,27
626,294,0.013,5,5,2
627,545,0.713,9,9,6
628,672,32.0,50,50,21
629,318,0.52,9,9,4
630,202,5.915,49,16,5
631,444,0.13,17,9,3
632,505,4.833,60,17,17
633,467,0.957,30,19,5
634,506,1.459,13,11,6
635,297,5.476,25,25,8
636,692,15.72,64,28,19
637,832,0.38,17,5,3
638,152,0.207,6,6,5
639,636,1.497,22,16,3
640,414,24.483,51,26,15
641,165,1.279,24,24,4
642,244,11.923,45,30,29
643,492,4.447,40,14,12
644,961,0.056,6,6,4
645,279,0.198,6,6,5
646,463,0.12,5,5,5
647,757,32.0,66,61,11
648,560,32.0,55,25,18
649,722,1.58,18,17,5
650,484,0.876,13,9,7
651,672,1.076,17,7,6
652,360,4.607,34,26,3
653,209,0.21,13,6,6
654,140,0.044,5,5,5
655,805,3.945,48,37,2
656,516,32.0,117,106,30
657,787,1.002,10,8,8
658,771,11.368,27,21,21
659,664,32.0,95,30,28
660,986,1.621,37,13,2
661,127,0.372,9,6,6
662,613,16.264,74,15,14
663,158,4.615,26,22,15
664,466,0.227,10,10,7
665,102,29.543,55,27,16
666,186,2.764,18,15,6
667,770,3.87,29,22,13
668,470,0.058,5,5,4
669,234,8.878,37,22,12
670,283,25.554,46,29,19
671,843,0.858,33,16,2
672,175,0.308,11,7,3
673,823,11.01,21,20,18
674,555,0.126,5,5,3
675,206,0.209,15,6,4
676,258,32.0,31,29,22
677,475,0.581,22,10,7
678,990,0.82,26,12,6
679,170,32.0,93,65,47
680,245,0.15,6,6,5
681,564,0.453,12,5,5
682,579,0.309,15,8,2
683,832,32.0,61,51,44
684,937,1.245,65,7,2
685,502,0.356,14,7,2
686,624,7.53,41,41,5
687,530,1.16,52,12,2
688,227,1.958,13,12,10
689,282,32.0,46,45,35
690,275,0.141,7,6,3
691,153,18.6,35,21,13
692,538,0.715,39,7,2
693,673,0.916,29,8,8
694,779,20.057,42,40,7
695,879,0.113,5,5,3
696,112,15.899,49,24,12
697,206,4.341,69,10,9
698,866,0.081,5,5,3
699,180,0.237,7,6,3
700,314,0.981,9,9,7
701,134,0.481,40,5,4
702,439,0.022,5,5,3
703,864,0.777,15,11,8
704,543,1.078,20,7,6
705,455,10.337,61,34,10
706,965,0.148,13,6,3
707,930,0.197,29,6,2
708,489,13.24,23,22,14
709,996,1.888,16,10,6
710,759,0.029,5,5,4
711,630,1.324,20,14,7
712,308,2.634,29,13,8
713,345,2.639,12,11,10
714,686,3.659,40,7,7
715,505,32.0,56,50,7
716,840,9.613,26,24,16
717,853,0.487,57,14,3
718,689,0.331,20,8,2
719,803,2.486,16,15,14
720,622,1.285,24,10,10
721,131,32.0,43,41,23
722,927,0.312,12,6,3
723,355,2.452,23,15,13
724,921,0.681,34,13,5
725,319,0.072,5,5,5
726,806,0.048,5,5,5
727,425,0.143,13,5,2
728,522,0.337,31,10,4
729,579,1.364,19,7,6
730,630,14.393,59,23,19
731,698,0.096,7,6,2
732,637,0.19,5,5,5
733,376,3.291,17,15,9
734,148,32.0,33,26,21
735,238,0.243,6,6,4
736,949,0.139,8,8,3
737,820,0.236,12,9,8
738,765,14.572,47,35,8
739,166,5.299,27,20,20
740,268,0.197,19,5,3
741,348,0.626,12,7,4
742,384,0.03,7,5,2
743,659,6.095,38,16,10
744,103,1.632,21,9,9
745,326,32.0,72,30,18
746,470,32.0,51,41,28
747,206,0.713,34,9,7
748,361,0.996,13,7,6
749,197,1.69,34,13,3
750,224,0.89,23,6,5
751,336,0.021,5,5,4
752,403,0.082,5,5,3
753,673,0.385,19,10,2
754,372,11.779,32,27,9
755,980,1.545,14,14,11
756,336,0.466,36,17,3
757,382,0.102,5,5,3
758,348,3.018,14,11,10
759,176,0.575,30,5,2
760,120,0.442,16,5,5
761,318,5.951,54,22,5
762,331,32.0,37,35,27
763,747,20.6,85,16,14
764,419,0.244,15,5,5
765,914,24.14,30,24,17
766,388,32.0,48,42,39
767,504,0.055,5,5,4
768,909,7.097,16,16,16
769,469,0.105,10,5,4
770,878,32.0,43,30,23
771,229,3.905,32,24,11
772,747,4.226,19,19,9
773,119,20.256,28,28,14
774,829,32.0,59,45,8
775,253,32.0,55,37,25
776,517,1.752,38,15,13
777,755,0.095,5,5,2
778,288,15.337,27,25,12
779,793,1.399,13,11,7
780,906,9.847,44,18,12
781,828,15.571,31,30,12
782,501,32.0,43,38,31
783,129,32.0,50,40,38
784,584,8.354,35,17,17
785,454,2.213,32,13,4
786,296,0.145,7,5,4
787,476,32.0,57,47,12
788,697,0.278,9,5,4
789,125,17.658,41,21,17
790,455,3.446,42,27,3
791,396,2.058,28,10,6
792,251,3.96,16,14,9
793,796,0.237,5,5,5
794,300,18.201,42,34,26
795,452,0.241,8,8,6
796,816,25.399,37,32,30
797,577,18.274,22,22,19
798,100,0.965,13,9,6
799,464,4.001,24,13,12
800,872,2.671,49,12,12
801,950,1.103,13,13,9
802,199,5.71,31,23,8
803,793,17.589,58,39,24
804,685,0.424,11,10,2
805,582,5.219,53,26,12
806,386,0.119,5,5,3
807,726,0.04,5,5,4
808,126,7.251,42,18,5
809,771,0.066,12,5,5
810,391,1.315,20,15,4
811,603,0.674,18,6,6
812,381,0.155,5,5,4
813,384,19.913,32,32,10
814,369,2.589,18,15,8
815,980,0.573,21,12,6
816,740,0.114,6,5,2
817,202,13.699,25,21,15
818,878,6.408,65,14,14
819,285,1.343,14,14,10
820,405,32.0,56,51,16
821,520,0.1,5,5,4
822,910,5.69,16,15,13
823,491,1.747,37,14,8
824,179,0.076,7,5,2
825,621,0.138,8,6,2
826,774,0.087,5,5,3
827,945,0.028,5,5,3
828,193,0.417,12,5,4
829,456,0.21,18,5,5
830,536,0.028,6,6,2
831,600,2.061,20,20,3
832,271,0.134,5,5,5
833,924,0.227,13,6,2
834,159,26.687,46,32,14
835,884,1.881,68,9,2
836,459,0.034,5,5,2
837,476,0.073,6,5,2
838,237,0.059,5,5,2
839,640,32.0,81,53,33
840,620,0.286,17,6,6
841,184,25.124,46,38,9
842,903,15.145,31,21,16
843,888,0.175,6,5,3
844,115,32.0,38,33,30
845,526,18.216,39,30,10
846,367,5.772,35,16,8
847,833,4.705,71,29,2
848,428,0.162,6,5,3
849,892,0.021,6,6,2
850,944,9.682,78,12,9
851,527,0.236,8,6,5
852,582,2.145,48,13,4
853,889,1.829,14,12,6
854,268,0.465,7,7,7
855,591,0.098,5,5,5
856,680,32.0,61,56,56
857,845,6.867,34,25,12
858,562,1.319,20,13,5
859,790,32.0,61,35,35
860,474,0.498,11,7,7
861,160,7.535,21,20,18
862,378,0.421,43,6,2
863,403,0.591,58,5,2
864,755,0.028,5,5,3
865,465,1.716,44,10,9
866,764,4.726,22,12,12
867,746,0.194,8,6,6
868,315,0.052,5,5,2
869,951,0.079,5,5,4
870,238,32.0,91,51,6
871,465,0.052,5,5,5
872,443,0.145,8,6,4
873,136,2.332,13,13,7
874,618,4.483,20,19,14
875,572,0.179,5,5,5
876,503,0.262,12,6,6
877,957,1.649,24,20,4
878,399,11.505,25,23,18
879,697,8.933,37,30,20
880,673,0.361,13,5,5
881,168,32.0,70,63,35
882,610,0.264,14,8,7
883,324,2.046,19,17,9
884,169,0.351,15,9,4
885,590,3.347,38,31,10
886,312,32.0,68,30,19
887,422,10.284,30,27,27
888,534,0.476,7,7,5
889,877,32.0,76,48,43
890,945,32.0,46,46,44
891,350,0.7,9,9,8
892,908,0.434,19,8,5
893,410,6.71,32,17,7
894,676,0.135,6,5,4
895,758,13.856,50,22,18
896,476,0.084,13,9,2
897,800,0.096,8,5,2
898,771,0.433,14,8,7
899,621,0.319,22,8,4
900,366,0.509,31,12,4
901,449,23.809,49,38,13
902,642,0.365,8,8,3
903,198,18.083,47,41,25
904,504,32.0,69,48,7
905,196,0.123,9,7,5
906,837,4.102,22,11,10
907,672,3.542,18,17,7
908,570,0.23,19,11,2
909,174,2.986,56,15,2
910,383,2.322,28,16,10
911,256,0.52,13,9,6
912,863,0.075,5,5,5
913,890,2.772,22,16,4
914,814,5.501,47,14,7
915,281,2.289,17,16,7
916,163,8.532,44,17,9
917,867,0.188,21,5,2
918,641,0.199,10,6,2
919,996,0.22,15,10,6
920,368,2.687,21,13,10
921,831,0.091,5,5,4
922,395,32.0,53,44,24
923,879,0.264,13,6,2
924,926,0.452,20,8,4
925,890,0.191,9,7,3
926,571,30.518,85,47,5
927,213,32.0,43,42,25
928,522,0.588,16,14,5
929,614,6.166,39,27,27
930,833,1.621,19,8,7
931,184,0.304,25,6,3
932,255,7.88,21,21,21
933,442,6.084,45,19,4
934,586,0.882,21,12,4
935,520,0.714,14,14,14
936,805,0.94,29,9,4
937,562,0.085,5,5,5
938,651,0.641,10,7,5
939,286,0.52,42,8,3
940,511,11.528,54,23,8
941,919,0.05,5,5,2
942,646,0.665,38,5,2
943,993,7.838,26,26,25
944,336,3.427,38,9,9
945,267,1.305,19,13,7
946,573,16.856,39,22,12
947,808,8.144,31,29,21
948,282,0.283,15,6,6
949,324,0.038,5,5,4
950,348,1.626,25,22,4
951,129,0.093,6,6,2
952,457,21.586,77,68,19
953,728,32.0,83,80,18
954,947,0.276,12,5,4
955,967,0.208,5,5,5
956,785,15.292,33,30,12
957,589,21.677,43,28,15
958,652,4.803,24,15,7
959,313,5.201,41,9,8
960,548,0.113,17,11,2
961,842,0.042,5,5,4
962,827,0.122,5,5,3
963,530,0.084,5,5,3
964,545,0.193,5,5,5
965,412,0.202,27,5,3
966,314,0.077,12,5,4
967,932,1.618,21,11,9
968,257,0.358,7,7,5
969,522,0.194,10,5,2
970,173,0.102,21,9,2
971,406,4.605,20,16,11
972,574,10.699,73,28,4
973,368,2.403,53,9,5
974,650,3.102,27,9,7
975,746,0.271,10,7,6
976,810,0.086,5,5,3
977,972,13.598,54,29,13
978,892,0.287,26,7,7
979,830,0.468,16,11,6
980,101,0.073,8,5,2
981,629,1.131,20,6,5
982,644,0.081,7,6,2
983,423,1.083,13,12,5
984,612,0.046,5,5,5
985,765,0.793,34,5,5
986,295,0.099,5,5,5
987,760,0.271,7,7,4
988,521,9.754,31,26,19
989,878,8.013,42,31,10
990,859,15.911,43,25,11
991,403,0.828,14,12,8
992,155,0.538,26,6,2
993,459,0.77,22,12,5
994,604,1.428,35,5,5
995,572,0.492,24,7,4
